start_time,end_time,text,speaker,wait_time,t_duration
2.537,56.372," Right, thank you. And when Maria and Lily are running the session, if you can keep your microphones on mute, that'll be great. But should you want to jump in and  make a comment, please use the chat function or, you know, use the reaction function and then we'll get to hear you. I feel like I'm being so formal, but actually we kind of all know each other already and we can be like less formal today. It's great to see all of you. I think it's about two weeks since Bali, two very busy, hectic, hot weeks.  Linh Ly, I think we now have about, I don't know, we have 24 participants. Would you like to start us off, seeing that we have a very limited time, yeah?",Learner_10,0.0,53.835
57.372,58.912,Yeah. Great.,Learner_3,1.0,1.5399999999999991
59.193,62.593,"Over to you, Maria and Linh Ly. Okay.",Learner_10,0.2809999999999988,3.4000000000000057
62.613,120.47,"Thank you, Rejani. Hi, hi, hi, everyone. I hope you are all still excited to learn, to continue our journey.  Now we are entering unit seven, which is I already gave the material to you while we were in Bali, but I hope it will not discourage you to hear again, to listen again to what I will say to you. And I do hope that you have time to finish or at least to start the unit seven, quite long enough. But yeah, that's interesting.  So today we will talk about the climate risk, investing climate risk again. So we will run through within the time. So I will give you some also exercise. I hope you will enjoy it. And I will share the screen now to start with the session, yeah?",Trainer,0.01999999999999602,57.857
127.152,130.08,All right.  Here we go.,Learner_12,6.682000000000002,2.9280000000000115
130.1,340.142,"So unit seven, as you understand that we learn about the investing in climate and this alliance in natural resources. And in this unit, the key learning outcomes is understanding climate phase and the assessment. Then we will have a session to exercise about how to assess on a quantitatively.  And also we will share about the natural asset and ecosystem services based on her experience. And the third one is about the reporting.  So I will start and please if I will also ask you, please write it down the experience that you have facing all the three types of climate this you can you can write it down in the chat group. So if you have a.  evidence or you have experience about how to dealing with the climate risk, that will be very good if you can share with us and write it down in the chat room. So I will start first, the three types of climate risk, as I already explained in Bali, that there will be a physical risk,  that the risk linked to physical changes. So we can see visioning the changes. For example, for the acute extreme weather event in Asia.  it will create or it will make the impact on the agriculture, of course, because of the drought. And this can suddenly happen. For example, if we just sit now with the hot weather and then suddenly we have rain, for example, and we feel so hot while we were in Bali, but actually this is not the month of having a very hot season.  And then the other one is the chronic, gradual, but increasing. So this is also happening in many places. You can experience this as well.  So if you think that you also have a bad seeing or experiencing, just like our colleagues from India said, this is too hot here in India or in the Philippines or somewhere. So please, can you write it down in the chat room and then maybe you can share a little bit about what happened or what you experienced, all the thing or the physical risk.  linked to the physical changes in your area. So we need a better adaptation to change what we can do because we cannot just sit and then just do nothing because the impact is really great. In order to keep the resilience, especially to the livelihood and also to our activities, of course,  to the ability to withstand and recover from the shock. So if you have any experience, please kindly share in the chat room that, for example, Philippine, yeah, this happened because something. In India, yes, this happened because of something. So please kindly share as well.",Trainer,0.01999999999998181,210.042
341.503,341.623,Yeah.,Learner_13,1.36099999999999,0.12000000000000455
344.73,347.451," All right, so anyone want to share about this?",Learner_8,3.1070000000000277,2.7210000000000036
347.891,410.518,"You can write it in the chat box, yeah? I believe that you also shared that, for example, for the business practices, the disalliance practices, because of the hazard exposure must be addressed.  And also the government were to focus the strategy and for the community services is good to have this evidence. So the civil society will have ability to lobby with the government or to the business sectors to slow down the risk. Yeah. Thank you.  Yeah, Chris shared that in the Philippines, unequal distribution in water in the country is still a major concern, water shortage, and maybe other can share about the experience.",Trainer,0.4399999999999977,62.62699999999995
411.879,412.059,Yeah.,Learner_13,1.3610000000000468,0.18000000000000682
